Component;Description;Sug.Extra;Aft.Orders;Available;Committed;OnHand;OnOrder;Vendor
1430295  ;HOOP OVAL TWO TONE;      0 ;    150-;    150-;    150 ;      0 ;      0 ;1GADOO ;
43-710   ;#E385-0 -- SM HAMMERED PFFD HP|+1.75/PR;      0 ;     12 ;     98-;    150 ;     52 ;    110 ;1GADOO ;
45-597   ;TWIST PFFD HOOP;      0 ;     40-;     40-;     40 ;      0 ;      0 ;1GADOO ;
4Y803193 ;HOOP-11MM POLISH;      0 ;    116-;    116-;    402 ;    286 ;      0 ;1GADOO ;
X1017017 ;HOOP OVAL TWISTED;      0 ;      7-;      8-;     12 ;      4 ;      1 ;1GADOO ;
XY9434818;NECK-POL MINI HRT 16+2=18"";      0 ;     43-;     43-;     75 ;     32 ;      0 ;1GDLJE ;
XY95626-7;RING-POL CHEVRON SIZE 7;      0 ;      7-;      7-;      7 ;      0 ;      0 ;1GDLJE ;
XY98976  ;NCK-7STA 2MM SQR BEAD 18" ADJ S.R.;      0 ;     12-;     12-;     12 ;      0 ;      0 ;1GDLJE ;
XY803014 ;HOOP-2-TONE XSMALL W/HEART;      0 ;      6-;      6-;    106 ;    100 ;      0 ;1GOLDE ;
XY9552072;BRC-3.7MM HOL HEARTS FOLDOVER 7.25" F.H.;      0 ;      8-;      8-;     49 ;     41 ;      0 ;1GOLLI ;
4W806361 ;STUD-3MM RND 'AA' CZ DN;      0 ;     48-;    648-;   1432 ;    784 ;    600 ;1GOODM ;
4W806362 ;STUD-4MM RND 'AA' CZ DN;      0 ;     26-;    626-;   1432 ;    806 ;    600 ;1GOODM ;
4W806363 ;STUD-5MM RND 'AA' CZ DN;      0 ;     48-;    748-;   1432 ;    684 ;    700 ;1GOODM ;
4Y806361 ;STUD-3MM RND 'AA' CZ DN;      0 ;     18 ;    762-;   1484 ;    722 ;    780 ;1GOODM ;
4Y806362 ;STUD-4MM RND 'AA' CZ DN;      0 ;     30 ;    750-;   1484 ;    734 ;    780 ;1GOODM ;
4Y806363 ;STUD-5MM RND 'AA' CZ;      0 ;     36 ;    744-;   1484 ;    740 ;    780 ;1GOODM ;
1019016W ;HOOP-WG 2.5X18 DIAMOND CUT  TWST;      0 ;      4-;    364-;    710 ;    346 ;    360 ;1GZM   ;
1036562  ;HOOP OVAL TWIST 18.5X16MM;      0 ;     99-;    499-;   1360 ;    861 ;    400 ;1GZM   ;
1410249-C;HOOP-2TN STAMPED TX OVAL 15X16MM;      0 ;     20-;     20-;     20 ;      0 ;      0 ;1GZM   ;
1419016  ;HOOP 2.5X18MM TWIST SQ D/C;      0 ;     21-;     22-;    164 ;    142 ;      1 ;1GZM   ;
1419090  ;HOOP-SWIRL PUFFED 25MM;      0 ;      8-;    126-;    166 ;     40 ;    118 ;1GZM   ;
1436562  ;HOOP-OVAL TWIST 18.5X16MM;      0 ;     25-;     25-;     44 ;     19 ;      0 ;1GZM   ;
4Y815709 ;HOOP-CRYSTAL DIACUT TAPERED 14MM;      0 ;     30-;     30-;     38 ;      8 ;      0 ;1GZM   ;
C1018920 ;10K-'X' DC ROUND HOOP';      0 ;     38-;    632-;    646 ;     14 ;    594 ;1GZM   ;
GF1419016;HOOP 2.5X18MM TWIST SQ D/C;      0 ;    142-;    143-;    332 ;    189 ;      1 ;1GZM   ;
GF1419090;HOOP-SWIRL PUFFED 25MM;      0 ;     92-;     92-;    290 ;    198 ;      0 ;1GZM   ;
GF18CRB  ;BRL018-14K GOLD FILLED CABLE CH 18 SR;      0 ;   1298-;   1298-;   4144 ;   2846 ;      0 ;1GZM   ;
GF206R   ;GF 6R CHAIN 18+2=20" S.R.;      0 ;     46-;     46-;    234 ;    188 ;      0 ;1GZM   ;
GF25X20  ;HOOP-14 GF 20X2.5MM POLISHED;      0 ;     66-;    272-;    272 ;      0 ;    206 ;1GZM   ;
GF5MMB   ;STUD-5MM BALL  W/GOLD FILLED CLUTCHES;      0 ;    150-;    260-;    260 ;      0 ;    110 ;1GZM   ;
GF6MMB   ;STUD-6MM BALL  W/GOLD FILLED CLUTCHES;      0 ;    150-;    260-;    260 ;      0 ;    110 ;1GZM   ;
GF815184 ;HOOP-14 GF WIDE RIBBON 14X12MM;      0 ;    142-;    142-;    330 ;    188 ;      0 ;1GZM   ;
